Year,Ending stocks (Million bushels),"Exports, market year (Million bushels)",Harvested acreage (Million acres),"Imports, market year (Million bushels)",Prices received by farmers (Dollars per bushel),Production (Million bushels),Total supply (Million bushels),Yield per harvested acre (Bushels per acre)
1975,633.2,1664.494,67.625,1.497,2.54,5840.757,6400.254,86.4
1976,1135.6,1645.119,71.506,2.431,2.15,6289.169,6924.8,88.0
1977,1435.9,1896.396,71.614,2.398,2.02,6505.041,7643.039,90.8
1978,1709.5,2113.117,71.93,1.152,2.25,7267.927,8704.979,101.0
1979,2034.3,2401.517,72.4,0.721,2.52,7928.139,9638.36,109.5
1980,1392.1,2391.106,72.961,0.848,3.11,6639.396,8674.544,91.0
1981,2536.6,1996.761,74.524,0.556,2.5,8118.65,9511.306,108.9
1982,3523.1,1821.345,72.719,0.489,2.55,8235.101,10772.19,113.2
1983,1006.3,1886.397,51.479,1.708,3.21,4174.251,7699.059,81.1
1984,1648.2,1850.251,71.897,1.733,2.63,7672.13,8680.163,106.7
1985,4039.522,1227.332,75.209,9.898,2.23,8875.453,10533.551,118.0
1986,4881.693,1492.471,68.907,1.757,1.5,8225.764,12267.043,119.4
1987,4259.086,1716.425,59.505,3.411,1.94,7131.3,12016.404,119.8
1988,1930.428,2028.453,58.25,2.782,2.54,4928.681,9190.549,84.6
1989,1344.457,2367.303,64.783,1.902,2.36,7531.953,9464.283,116.3
1990,1521.245,1726.631,66.952,3.415,2.28,7934.028,9281.9,118.5
1991,1100.311,1583.917,68.822,19.637,2.37,7474.765,9015.647,108.6
1992,2112.981,1663.278,72.077,7.091,2.07,9476.698,10584.1,131.5
1993,850.143,1328.322,62.933,20.815,2.5,6337.73,8471.526,100.7
1994,1557.84,2177.482,72.514,9.557,2.26,10050.52,10910.22,138.6
1995,425.942,2227.824,65.21,16.487,3.24,7400.051,8974.378,113.5
1996,883.161,1797.369,72.644,13.261,2.71,9232.557,9671.76,127.1
1997,1307.803,1504.426,72.671,8.81,2.43,9206.832,10098.803,126.7
1998,1786.977,1984.193,72.589,18.806,1.94,9758.685,11085.294,134.4
1999,1717.549,1936.566,70.487,14.744,1.82,9430.612,11232.333,133.8
2000,1899.108,1941.348,72.44,6.824,1.85,9915.051,11639.424,136.9
2001,1596.426,1904.768,68.768,10.14,1.97,9502.58,11411.828,138.2
2002,1086.673,1587.887,69.33,14.446,2.32,8966.787,10577.659,129.3
2003,958.091,1899.817,70.944,14.076,2.42,10087.292,11188.041,142.2
2004,2113.972,1818.056,73.631,10.83,2.06,11805.581,12774.502,160.3
2005,1967.161,2133.811,75.117,8.806,2.0,11112.187,13234.965,147.9
2006,1303.647,2125.369,70.638,11.983,3.04,10531.123,12510.267,149.1
2007,1624.15,2437.402,86.52,20.021,4.2,13037.875,14361.543,150.7
2008,1673.311,1848.947,78.57,13.53,4.06,12043.203,13680.883,153.3
2009,1707.787,1979.026,79.49,8.343,3.55,13067.156,14748.81,164.4
2010,1127.645,1830.925,81.446,27.669,5.18,12425.33,14160.786,152.6
2011,989.027,1539.157,83.879,29.373,6.22,12313.956,13470.974,146.8
2012,821.185,730.088,87.365,159.946,6.89,10755.111,11904.084,123.1
2013,1231.904,1920.783,87.461,35.794,4.46,13830.704,14687.683,158.1
2014,1731.164,1866.882,83.146,31.646,3.7,14217.292,15480.842,171.0
2015,1737.058,1898.634,80.753,67.565,3.61,13601.964,15400.693,168.4
2016,2293.303,2295.688,86.748,57.068,3.36,15148.038,16942.164,174.6
2017,2140.335,2437.114,82.733,36.013,3.36,14609.407,16938.723,176.6
2018,2237.008,2068.342,81.169,27.959,3.61,14321.674,16489.968,176.4
2019,2004.354,1778.476,80.991,41.885,3.56,13568.306,15847.199,167.5
2020,1234.512,2746.937,82.168,24.233,4.53,14086.699,16115.286,171.4
2021,1376.89,2472.389,84.988,24.227,6.0,15017.788,16276.527,176.7
2022,1360.201,1661.16,78.705,38.716,6.54,13650.531,15066.137,173.4392
2023,2171.796,2100.0,86.513,25.0,4.8,15341.595,16726.796,177.3328
